127.0.0.1 - - [09/Apr/2023:17:14:36 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [09/Apr/2023:17:14:36 +0530] "GET /jspdemo/student-form.html HTTP/1.1" 200 321
0:0:0:0:0:0:0:1 - - [09/Apr/2023:17:14:36 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [09/Apr/2023:17:14:41 +0530] "GET /jspdemo/student-response.jsp?firstName=&LastName= HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [09/Apr/2023:17:15:05 +0530] "GET /jspdemo/student-form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:17:15:09 +0530] "GET /jspdemo/student-response.jsp?firstName=Rohan&LastName= HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [09/Apr/2023:17:15:58 +0530] "GET /jspdemo/student-form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:17:16:03 +0530] "GET /jspdemo/student-response.jsp?firstName=Rohan&LastName= HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [09/Apr/2023:17:17:21 +0530] "GET /jspdemo/student-form.html HTTP/1.1" 200 320
0:0:0:0:0:0:0:1 - - [09/Apr/2023:17:17:24 +0530] "GET /jspdemo/student-response.jsp?firstName=&LastName= HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [09/Apr/2023:17:17:37 +0530] "GET /jspdemo/student-response.jsp?firstName=&LastName= HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [09/Apr/2023:17:18:06 +0530] "GET /jspdemo/student-response.jsp?firstName=&LastName= HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [09/Apr/2023:17:18:07 +0530] "GET /jspdemo/student-response.jsp?firstName=&LastName= HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [09/Apr/2023:17:18:07 +0530] "GET /jspdemo/student-response.jsp?firstName=&LastName= HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [09/Apr/2023:17:18:08 +0530] "GET /jspdemo/student-response.jsp?firstName=&LastName= HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [09/Apr/2023:17:18:08 +0530] "GET /jspdemo/student-response.jsp?firstName=&LastName= HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [09/Apr/2023:17:18:08 +0530] "GET /jspdemo/student-response.jsp?firstName=&LastName= HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [09/Apr/2023:17:18:17 +0530] "GET /jspdemo/student-form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:17:18:26 +0530] "GET /jspdemo/student-response.jsp?firstName=Rohan&LastName=Bhavare HTTP/1.1" 200 123
0:0:0:0:0:0:0:1 - - [09/Apr/2023:17:23:27 +0530] "GET /jspdemo/student-form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:17:23:38 +0530] "GET /jspdemo/student-response.jsp?firstName=Rohan&LastName=Bhavare HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [09/Apr/2023:17:25:03 +0530] "GET /jspdemo/student-form.html HTTP/1.1" 200 320
0:0:0:0:0:0:0:1 - - [09/Apr/2023:17:25:07 +0530] "GET /jspdemo/student-response.jsp?firstName=Rohan&lastName=Bhavare HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [09/Apr/2023:17:26:22 +0530] "GET /jspdemo/student-form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:17:26:31 +0530] "GET /jspdemo/student-response.jsp?firstName=Rohan&lastName=Bhavare HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [09/Apr/2023:17:29:39 +0530] "GET /jspdemo/student-form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:17:29:44 +0530] "GET /jspdemo/student-response.jsp?firstName=Rohan&lastName=Bhavare HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [09/Apr/2023:17:31:36 +0530] "GET /jspdemo/student-form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:17:31:41 +0530] "GET /jspdemo/student-response.jsp?firstName=Rohan&lastName=Bhavare HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [09/Apr/2023:17:32:08 +0530] "GET /jspdemo/student-response.jsp?firstName=Rohan&lastName=Bhavare HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [09/Apr/2023:17:34:26 +0530] "GET /jspdemo/student-form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:17:34:33 +0530] "GET /jspdemo/student-response.jsp?firstName=Rohan&lastName=Bhavare HTTP/1.1" 200 140
0:0:0:0:0:0:0:1 - - [09/Apr/2023:17:35:09 +0530] "GET /jspdemo/student-response.jsp?firstName=Rohan&lastName=Bhavare HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [09/Apr/2023:18:03:06 +0530] "GET /jspdemo/student-dropdown-form.html HTTP/1.1" 200 457
0:0:0:0:0:0:0:1 - - [09/Apr/2023:18:03:52 +0530] "GET /jspdemo/student-dropdown-form.html HTTP/1.1" 200 477
0:0:0:0:0:0:0:1 - - [09/Apr/2023:18:05:00 +0530] "GET /jspdemo/student-dropdown-form.html HTTP/1.1" 200 478
0:0:0:0:0:0:0:1 - - [09/Apr/2023:18:05:36 +0530] "GET /jspdemo/student-dropdown-form.html HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [09/Apr/2023:18:05:45 +0530] "GET /jspdemo/student-dropdown-response.jsp?firstName=rohan&lastName=bhavare&country=Brazil HTTP/1.1" 200 169
0:0:0:0:0:0:0:1 - - [09/Apr/2023:18:06:38 +0530] "GET /jspdemo/student-dropdown-form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:18:06:42 +0530] "GET /jspdemo/student-dropdown-response.jsp?firstName=rohan&lastName=bhavare&country=India HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [09/Apr/2023:18:25:44 +0530] "GET /jspdemo/student-radio-form.html HTTP/1.1" 200 652
0:0:0:0:0:0:0:1 - - [09/Apr/2023:18:25:51 +0530] "GET /jspdemo/student-radio-response.jsp?firstName=&lastName=&favouriteLanguage=Python HTTP/1.1" 200 178
0:0:0:0:0:0:0:1 - - [09/Apr/2023:18:28:04 +0530] "GET /jspdemo/student-radio-form.html HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [09/Apr/2023:18:29:38 +0530] "GET /jspdemo/student-radio-form.html HTTP/1.1" 200 660
0:0:0:0:0:0:0:1 - - [09/Apr/2023:18:29:46 +0530] "GET /jspdemo/student-radio-response.jsp?firstName=Rohan&lastName=Bhavare&favoriteLanguage=java HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [09/Apr/2023:18:30:13 +0530] "GET /jspdemo/student-radio-form.html HTTP/1.1" 200 661
0:0:0:0:0:0:0:1 - - [09/Apr/2023:18:30:13 +0530] "GET /jspdemo/student-radio-form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:18:30:14 +0530] "GET /jspdemo/student-radio-form.html HTTP/1.1" 304 -
